Binary representation    log evidence    log_evidence_error 
1,1,1,0,1,0,1,0    424.12796286997064    0.0
1,1,1,0,0,1,1,0    517.6021795962097    0.0
0,0,0,0,0,1,1,1    159.76585863718373    0.0
1,1,0,0,0,1,0,1    524.3159688632536    0.0
0,0,0,1,1,1,1,1    297.4722126461924    0.0
0,0,1,1,0,1,1,0    355.03993011527575    0.0
1,0,0,1,1,0,1,1    481.0873142014634    0.0
1,1,0,1,1,1,1,0    520.5556390149045    0.0
1,0,0,1,0,0,0,1    485.7548199376737    0.0
0,0,0,1,0,0,1,1    176.52153778168432    0.0
1,1,1,1,0,0,0,1    521.348623178625    0.0
1,1,1,1,0,1,0,1    521.2269663534305    0.0
1,0,1,1,0,0,1,0    424.4134425969726    0.0
0,1,1,0,1,1,1,0    409.95548751404954    0.0
1,1,0,0,0,0,1,1    512.4696587080143    0.0
0,1,1,0,0,1,1,0    381.24782884221696    0.0
1,0,0,0,0,0,1,1    445.03331192880637    0.0
0,1,0,1,0,0,1,1    215.39656370290362    0.0
1,1,0,1,1,0,1,0    521.7057722788444    0.0
1,0,1,0,1,1,1,0    434.89427271750145    0.0
0,0,1,1,1,1,1,0    383.7475887871091    0.0
0,1,1,1,1,1,1,0    411.9574921935674    0.0
0,0,0,0,1,0,0,1    180.62928775906863    0.0
0,1,1,0,1,0,1,0    316.8792443224309    0.0
1,0,0,0,0,1,0,1    468.99914079317347    0.0
0,0,0,0,1,1,1,1    266.41434924901534    0.0
1,0,0,1,0,1,0,1    500.0570041903517    0.0
